"CNPJ","NOME","PROJETO","DATA","VALOR (R$)"
"***.00.000/****-90","BANCO DO BRASIL SA","0101 - FCPC","13/01/2017","6.694,90"
"***.00.071/****-21","LUREX DISTRIBUIDORA DE BATERIAS LTDA","0101 - FCPC","06/01/2017","453,00"
"***.00.125/****-52","BONTEMPO REFRIGERACAO LTDA","3224 - TC SMART/UFC/FCPC - DESENVOLVIMENTO DE UM SISTEMA DE DETECÇÃO DE FALHA SMART RMA F_2","03/01/2017","1.360,00"
"***.00.204/****-20","NONO TABELIONATO DE NOTAS","0101 - FCPC","01/02/2017","396,27"
"***.00.204/****-20","NONO TABELIONATO DE NOTAS","0101 - FCPC","02/01/2017","24,81"
"***.00.318/****-25","A C Q COMERCIO E REP.LTDA ME","3253 - TC. LG/UFC/FCPC - MOBILE, TOOLS & CAS","08/02/2017","3.060,00"
"***.00.318/****-25","A C Q COMERCIO E REP.LTDA ME","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","20/01/2017","7.380,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","01/02/2017","420,96"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","01/02/2017","378,48"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","01/02/2017","757,12"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","01/02/2017","120,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","01/02/2017","259,52"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","01/02/2017","351,84"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3191 - TC FURUKAWA/UFC/FCPC - SISTEMA DE GESTÃO DE PRODUÇÃO DE FIBRAS","01/02/2017","248,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","1089 - RESCISAO CONTRATUAL","01/02/2017","295,66"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","286,72"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","544,32"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","266,11"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","40,59"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","397,44"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","414,72"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","220,00"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","435,45"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","322,24"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","131,41"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","393,60"
"***.00.360/****-04","CAIXA ECONOMICA FEDERAL","3143 - TC - LG/UFC/FCPC - MOBILE, TOOLS & CAS","26/01/2017","532,52"
